Image;Length;Diameter;Branches 
P0-1_0D1  ;1410.302;10.417811;10
P0-1_0D2  ;1431.89;9.0228328;8
P0-1_0D3  ;1324.192;8.9532114;6
P0-1_0D4  ;1440.27;9.6225374;7
P0-1_0D5  ;1530.054;8.8946213;6
P0-1_0D6  ;2312.546;8.4445904;26
P0-1_0D7  ;1454.034;10.268079;8
P0-1_0D8  ;1502.178;9.1704335;8
P0-1_2D1  ;1731.65;8.2966492;8
P0-1_2D2  ;905.998;11.07055;4
P0-1_2D3  ;1534.346;10.090191;9
P0-1_2D5  ;1995.528;8.3870512;17
P0-1_2D6  ;1743;9.7208965;8
P0-1_2D7  ;1799.554;11.463768;10
P0-1_2D8  ;1233.222;10.598471;7
P0-1_4D2  ;1332.448;8.9151222;13
P0-1_4D5  ;1707.122;8.9265711;14
P0-1_4D6  ;1772.636;10.44215;11
P0-1_4D7  ;1553.89;9.9083601;14
P0-1_4D8  ;1880.468;10.058675;10
P0-1_7D1  ;1566.038;9.3148801;11
P0-1_7D3  ;1471.126;10.526863;12
P0-1_7D4  ;1763.582;11.925063;12
P0-1_7D5  ;1649.928;10.644048;8
P0-1_7D6  ;1542.046;10.596168;14
P0-1_7D7  ;1916.78;9.8828924;11
P0-1_7D8  ;1746.42;9.00521;13
P0-1_10D3 ;1447.232;8.4560045;24
P0-1_10D4 ;1701.058;9.0448654;12
P0-1_10D5 ;775.818;7.909455;5
P0-1_10D6 ;1582.11;9.322938;7
P0-1_10D7 ;1406.002;8.2844793;12
P0-1_10D8 ;999.046;10.50413;9
P0-1_14D1 ;1250.02;10.461311;9
P0-1_14D2 ;2006.916;9.6281003;12
P0-1_14D3 ;1550.3;9.8862319;15
P0-2_0D1  ;2342.276;8.3708564;15
P0-2_0D2  ;2355.682;8.6230291;20
P0-2_0D3  ;1805.88;9.0734713;14
P0-2_0D4  ;1936.794;8.1667583;13
P0-2_0D5  ;1788.952;8.8244873;10
P0-2_0D6  ;1777.312;8.8352619;14
P0-2_0D7  ;2020.076;8.5201072;18
P0-2_0D8  ;1501.658;8.9091074;8
P0-2_4D1  ;1243.016;9.6399113;11
P0-2_4D2  ;852.274;10.74721;6
P0-2_4D3  ;1151.692;11.172315;6
P0-2_4D4  ;1388.718;10.104158;11
P0-2_4D5  ;1212.528;8.4770787;6
P0-2_4D7  ;1570.462;10.164748;9
P0-2_4D8  ;919.212;9.045064;3
P0-2_7D1  ;1050.776;9.0595302;3
P0-2_7D2  ;1328.892;9.5079564;7
P0-2_7D3  ;1737.764;9.7115631;16
P0-2_7D5  ;841.884;9.786139;4
P0-2_7D6  ;1720.462;9.219261;17
P0-2_7D7  ;1167.548;9.1348894;13
P0-2_7D8  ;851.924;10.63167;1
P0-2_10D1 ;1697.214;9.9908088;14
P0-2_10D2 ;1894.922;8.3968183;26
P0-2_10D3 ;1474.376;9.1141181;17
P0-2_10D4 ;1265.182;10.570133;12
P0-2_10D5 ;1662.082;8.5400543;21
P0-2_10D6 ;1252.83;8.3801157;4
P0-2_10D7 ;1534.54;10.891863;11
P0-2_10D8 ;1068.158;10.812533;6
P0-3_0D1  ;1320.27;9.0219298;8
P0-3_0D3  ;2017.588;8.611874;8
P0-3_0D5  ;1753.714;9.7574651;17
P0-3_0D6  ;1949.396;9.05594;14
P0-3_0D7  ;1786.554;10.698553;13
P0-3_4D1  ;1364.006;10.268439;6
P0-3_4D2  ;747.962;11.92825;5
P0-3_4D3  ;764.136;10.81378;5
P0-3_4D4  ;1170.956;9.9217864;4
P0-3_4D5  ;1755.262;9.7673569;6
P0-3_4D6  ;1048.856;8.8050412;3
P0-3_4D7  ;1077.868;12.752812;5
P0-3_4D8  ;1276.006;11.207426;13
P0-3_7D2  ;1093.514;10.479764;6
P0-3_7D3  ;1389.788;9.7647882;10
P0-3_7D4  ;1820.93;9.9731513;18
P0-3_7D5  ;1436.336;9.8699411;11
P0-3_7D6  ;1903.89;9.676322;8
P0-3_7D7  ;1194.128;9.0993023;5
P0-3_7D8  ;1203.758;8.9584507;4
P0-3_10D3 ;1770.744;8.8743711;16
P0-3_10D4 ;1909.488;9.6485891;16
P0-3_10D5 ;1408.464;10.138724;11
P0-3_10D6 ;1361.99;10.035091;10
P0-3_10D7 ;1741.584;8.6136072;10
P0-3_10D8 ;1910.112;8.3556565;15
P0-3_14D1 ;1958.556;8.5692397;23
P0-3_14D2 ;1351.244;8.7394279;11
P0-3_14D3 ;1345.434;8.2644089;5
P0-3_14D4 ;1134.198;8.5333501;3
P0-3_14D5 ;1843.718;8.247399;20
P0-3_14D6 ;1765.244;8.2425619;16
P0-3_14D7 ;1576.812;7.9607878;16
P0-3_14D8 ;1386.334;8.2043163;9
P0-3_21D1 ;1524.21;9.4105419;11
P0-3_21D2 ;1471.708;8.7085714;14
P0-3_21D3 ;1720.828;9.4528915;13
P0-3_21D4 ;1568.634;8.9239322;12
P0-3_21D5 ;1377.888;9.273848;11
P0-3_21D6 ;1975.346;8.3907587;18
P0-3_21D7 ;1167.228;8.2065114;16
P0-3_21D8 ;1405.056;8.2834203;5
P2-1_0D1  ;1198.406;11.193383;9
P2-1_0D2  ;1173.342;9.49324;8
P2-1_0D8  ;1654.892;8.9683243;7
P2-1_2D1  ;1559.176;10.377922;9
P2-1_2D2  ;1660.086;9.9633856;13
P2-1_2D3  ;1049.33;9.6466245;3
P2-1_2D5  ;1312.602;11.949178;6
P2-1_2D6  ;1096.416;10.433501;5
P2-1_2D7  ;1174.056;10.492165;9
P2-1_2D8  ;1249.524;12.445542;5
P2-1_4D2  ;1318.77;9.1459839;10
P2-1_4D3  ;1213.698;8.4050046;7
P2-1_4D4  ;1388.968;8.8565409;6
P2-1_4D5  ;498.152;9.773957;1
P2-1_4D7  ;1600.144;9.7536946;14
P2-1_4D8  ;1285.264;8.9131291;9
P2-1_7D1  ;1753.328;8.9733718;10
P2-1_7D2  ;1486.872;8.3119093;13
P2-1_7D3  ;1367.96;9.3791615;8
P2-1_7D4  ;945.614;9.475323;8
P2-1_7D5  ;1298.428;8.3160315;9
P2-1_7D6  ;1419.152;9.0029516;10
P2-1_7D7  ;771.226;8.841374;3
P2-1_7D8  ;1444.466;7.686431;17
P2-1_10D1 ;640.594;9.013729;1
P2-1_10D2 ;707.196;9.270635;6
P2-1_10D3 ;1152.052;8.2429199;9
P2-1_10D4 ;951.104;8.543033;7
P2-1_10D5 ;1181.144;9.3338878;5
P2-1_10D7 ;972.652;9.499718;5
P2-1_10D8 ;992.96;8.240067;6
P2-1_14D1 ;1546.37;9.7848147;17
P2-1_14D2 ;1340.834;9.4601253;10
P2-1_14D3 ;1533.84;9.0916306;15
P2-1_14D4 ;1241.188;10.185038;12
P2-1_14D5 ;1472.818;10.545559;7
P2-1_14D6 ;898.536;8.597292;7
P2-1_14D7 ;1202.414;10.130947;5
P2-1_14D8 ;859.136;8.779633;5
P2-1_21D1 ;1247.658;9.2922737;3
P2-1_21D2 ;1217.742;8.4551898;7
P2-1_21D3 ;1063.362;10.13414;3
P2-1_21D4 ;846.598;8.654045;8
P2-1_21D5 ;1016.1;7.6486561;11
P2-1_21D6 ;886.056;8.714646;4
P2-1_21D7 ;1083.49;8.1360631;4
P2-1_21D8 ;570.126;9.641165;2
P2-2_0D1  ;1787.962;8.5575167;9
P2-2_0D2  ;1626.134;10.308878;4
P2-2_0D3  ;2400.16;7.9854023;23
P2-2_0D4  ;1653.912;8.9601038;9
P2-2_0D5  ;1946.138;8.7152131;17
P2-2_0D6  ;2063.234;8.4708827;11
P2-2_0D7  ;1666.396;9.7577049;9
P2-2_0D8  ;2061.464;7.7034839;18
P2-2_2D1  ;1853.486;11.962941;11
P2-2_2D2  ;1503.692;11.169523;9
P2-2_2D3  ;1721.762;11.467577;8
P2-2_2D4  ;1283.322;9.187687;9
P2-2_2D5  ;1499.448;10.811295;8
P2-2_2D6  ;1711.002;10.779833;7
P2-2_2D7  ;1233.878;11.740724;1
P2-2_2D8  ;1392.532;11.597021;5
P2-2_4D1  ;1896.048;11.778301;16
P2-2_4D2  ;1659.666;8.810937;22
P2-2_4D3  ;1040.952;11.042432;9
P2-2_4D4  ;1478.114;10.195604;11
P2-2_4D5  ;1342.232;8.9612632;10
P2-2_4D6  ;1539.126;9.1027596;16
P2-2_4D7  ;1286.588;10.998033;6
P2-2_4D8  ;1618.438;8.4195921;15
P2-2_7D1  ;1329.482;9.4555138;9
P2-2_7D2  ;1137.236;10.130546;5
P2-2_7D3  ;1320.738;10.227329;7
P2-2_7D4  ;1500.542;9.6785582;11
P2-2_7D5  ;1619.006;9.0369535;11
P2-2_7D6  ;1548.55;9.9523555;12
P2-2_7D7  ;1644.106;9.6302262;18
P2-2_7D8  ;1567.912;8.8549027;14
P2-2_10D1 ;962.462;8.335221;6
P2-2_10D2 ;1625.794;8.5606219;16
P2-2_10D3 ;938.122;7.788669;6
P2-2_10D4 ;1107.454;8.2491139;17
P2-2_10D5 ;1608.552;9.2239583;14
P2-2_10D6 ;1325.18;10.030526;6
P2-2_10D7 ;1461.688;8.9990392;9
P2-2_10D8 ;1029.742;9.0008179;7
P2-2_14D1 ;1948.424;8.2743414;22
P2-2_14D2 ;1847.3;9.0709717;16
P2-2_14D3 ;1484.834;6.9245841;13
P2-2_14D4 ;1817.648;6.8124434;16
P2-2_14D5 ;1869.05;8.8875981;10
P2-2_14D6 ;1881.772;8.789458;15
P2-2_14D7 ;1430.876;8.980245;9
P2-2_14D8 ;1828.956;7.6661074;15
P2-2_21D1 ;1430.716;8.0822394;5
P2-2_21D3 ;1277.024;7.780628;9
P2-2_21D4 ;974.634;7.755754;5
P2-2_21D5 ;1287.682;7.0292371;7
P2-2_21D6 ;1455.538;7.4992381;13
P2-2_21D7 ;1732.434;8.4286883;12
P2-2_21D8 ;1177.046;8.2965861;5
P2-3_0D1  ;1487.698;9.8824314;6
P2-3_0D2  ;1501.046;9.3721063;4
P2-3_0D3  ;1242.442;9.4722601;8
P2-3_0D4  ;2041.64;8.9325452;17
P2-3_0D5  ;1171.762;9.6092358;3
P2-3_0D6  ;1695.546;9.9401751;11
P2-3_0D7  ;1869.802;8.9583836;6
P2-3_0D8  ;1938.578;8.2149479;13
P2-3_2D1  ;953.256;8.554728;7
P2-3_2D2  ;2054.41;7.9665238;15
P2-3_2D3  ;1951.254;11.927968;13
P2-3_2D4  ;2107.986;9.3977865;25
P2-3_2D5  ;2065.084;9.849396;23
P2-3_2D6  ;1525.782;12.498367;13
P2-3_2D7  ;1511.64;11.202469;7
P2-3_2D8  ;1832.164;10.430087;9
P2-3_4D2  ;1484.26;12.523298;8
P2-3_4D3  ;1451.616;10.179348;6
P2-3_4D4  ;1215.86;8.0379775;15
P2-3_4D5  ;1508.514;9.2562152;14
P2-3_4D6  ;1637.758;10.012364;9
P2-3_4D7  ;1124.214;11.048522;6
P2-3_4D8  ;1222.102;9.4468864;5
P2-3_7D1  ;1505.242;8.4132157;11
P2-3_7D2  ;1777.826;7.9712731;25
P2-3_7D3  ;1430.286;10.517288;7
P2-3_7D5  ;964.516;6.445862;8
P2-3_7D7  ;1685.192;9.9279264;11
P2-3_7D8  ;804.758;7.405461;14
P2-3_10D1 ;694.484;8.478732;2
P2-3_10D2 ;904.186;8.516414;10
P2-3_10D4 ;482.33;10.30832;1
P2-3_10D5 ;941.258;10.44604;8
P2-3_10D6 ;1694.978;9.2867868;13
P2-3_10D8 ;1076.246;8.7346728;4
P2-3_14D2 ;1348.35;9.3387432;8
P2-3_14D5 ;1078.802;9.7338205;4
P2-3_14D6 ;1820.658;10.026185;17
P2-3_14D7 ;1277.17;8.706762;6
P2-3_14D8 ;1155.45;11.188899;3
P2-3_21D1 ;1502.412;8.9829332;10
P2-3_21D2 ;1447.308;9.9448102;12
P2-3_21D3 ;1143.92;8.8077307;4
P2-3_21D4 ;1515.422;10.257615;11
P2-3_21D5 ;1428.946;7.8254277;14
P2-3_21D6 ;1189.394;9.2992718;10
P2-3_21D7 ;1584.372;8.1935192;11
P2-3_21D8 ;1178.26;9.5238439;5
P10-1_0D1 ;2100.694;7.528856;20
P10-1_0D2 ;1429.386;10.628968;3
P10-1_0D3 ;1745;8.2356411;11
P10-1_0D4 ;1462.494;8.6278984;10
P10-1_0D5 ;1216.11;9.2571429;5
P10-1_0D6 ;1354.81;8.7339524;9
P10-1_0D7 ;2344.682;8.6098608;20
P10-1_0D8 ;1132.306;8.5841053;8
P10-1_4D6 ;1058.844;13.093702;4
P10-1_4D7 ;1641.026;10.271861;13
P10-1_7D3 ;1651.096;10.454904;9
P10-1_7D6 ;1900.026;8.8535577;16
P10-1_7D7 ;1805.232;9.9196568;11
P10-2_0D1 ;1586.77;9.473055;8
P10-2_0D2 ;1577.384;9.8877261;7
P10-2_0D3 ;1403.982;9.2005593;8
